Date,Price,Open,High,Low,Vol.,Change %
1/5/2020,3265.35,"3,217.55","3,282.99","3,214.64",,0.94%
1/12/2020,3329.62,"3,271.13","3,329.88","3,268.43",,1.97%
01/19/2020,3295.47,"3,321.03","3,337.77","3,281.53",,-1.03%
01/26/2020,3225.52,"3,247.16","3,293.47","3,214.68",,-2.12%
2/2/2020,3327.71,"3,235.66","3,347.96","3,235.66",,3.17%
2/9/2020,3380.16,"3,318.28","3,385.09","3,317.77",,1.58%
02/16/2020,3337.75,"3,369.04","3,393.52","3,328.45",,-1.25%
02/23/2020,2954.22,"3,257.61","3,259.81","2,855.84",,-11.49%
3/1/2020,2972.37,"2,974.28","3,136.72","2,901.54",,0.61%
3/8/2020,2711.02,"2,863.89","2,882.59","2,478.86",,-8.79%
03/15/2020,2304.92,"2,508.59","2,562.98","2,280.52",,-14.98%
03/22/2020,2541.47,"2,290.71","2,637.01","2,191.86",,10.26%
03/29/2020,2488.65,"2,558.98","2,641.39","2,447.49",,-2.08%
4/5/2020,2789.82,"2,578.28","2,818.57","2,574.57",,12.10%
4/12/2020,2874.56,"2,782.46","2,879.22","2,721.17",,3.04%
04/19/2020,2836.74,"2,845.62","2,868.98","2,727.10",,-1.32%
04/26/2020,2830.71,"2,854.65","2,954.86","2,821.61",,-0.21%
5/3/2020,2929.8,"2,815.01","2,932.16","2,797.85",,3.50%
5/10/2020,2863.7,"2,915.46","2,945.82","2,766.64",,-2.26%
05/17/2020,2955.45,"2,913.86","2,980.29","2,913.86",,3.20%
05/24/2020,3044.31,"3,004.08","3,068.67","2,969.75",,3.01%
05/31/2020,3193.93,"3,038.78","3,211.72","3,031.54",,4.91%
6/7/2020,3041.31,"3,199.92","3,233.13","2,984.47",,-4.78%
06/14/2020,3097.74,"2,993.76","3,155.53","2,965.66",,1.86%
06/21/2020,3009.05,"3,094.42","3,154.90","3,004.63",,-2.86%
06/28/2020,3130.01,"3,018.59","3,165.81","2,999.74",,4.02%
7/5/2020,3185.04,"3,155.29","3,186.82","3,115.70",,1.76%
7/12/2020,3224.73,"3,205.08","3,238.28","3,127.66",,1.25%
07/19/2020,3215.63,"3,224.29","3,279.99","3,200.05",,-0.28%
07/26/2020,3271.12,"3,219.84","3,272.17","3,204.13",,1.73%
